Date,Jobsite,Pour type,CY,Job code,Comment,Total Yards,Supplier
07/11/2022,SOUTH COMMONS,SLAB,370,KDSC00,CARSON CITY,370,CEMEX
07/11/2022,OAKHILLS,SLAB,400,TBSR35,,400,CEMEX
07/11/2022,REGENCY @ CARAMELLA,FOOTING,130,TBRGCR,,130,CEMEX
07/12/2022,VISTA ENCLAVE,SLAB,530,SRVE00,,530,CEMEX
07/12/2022,KILEY RANCH SIX APTS,SLAB,200,JSKSA0,,200,CEMEX
07/13/2022,VISTA ENCLAVE,SLAB,180,SRVE00,,180,CEMEX
07/13/2022,SILVER DOLLAR III,FW,60,DRSD30,,60,SILVER
07/14/2022,RANCH HARRAH II,SLAB,520,TBRH20,,520,CEMEX
07/14/2022,CINNAMON RIDGE,FOOTING,140,TBCR00,,140,CEMEX
07/15/2022,REGENCY @ CARAMELLA,SLAB,130,TBRGCR,,130,SILVER
07/15/2022,KILEY RANCH SIX APTS,SLAB,350,JSKSA0,,350,CEMEX
07/18/2022,BRAE RETREAT,SLAB,360,DWSBR0,,360,CEMEX
07/18/2022,VALLEY KNOLLS,FOOTING,130,KDVKR0,CARSON CITY,130,CEMEX
07/19/2022,DOWN @ MONTE VISTA,SLAB,500,SYMVD0,MINDEN,500,CEMEX
07/20/2022,CINNAMON RIDGE,SLAB,140,TBCR00,,140,CEMEX
07/20/2022,SILVER DOLLAR III,FW,60,DRSD30,,60,SILVER
07/20/2022,MERIDA,SLAB,520,TBMD00,,520,CEMEX
07/21/2022,ALICANTE CC,SLAB,420,TBACC0,,420,CEMEX
07/21/2022,VILLAGE D,SLAB,530,RWVD00,,530,CEMEX
07/22/2022,CATALINA,SLAB,430,TBCT00,,430,CEMEX
07/22/2022,VALLEY KNOLLS,SLAB,140,KDVKR0,CARSON CITY,140,CEMEX
